id,name,price,product_categories,search_terms,features,short_description,detailed_description,is_available,view_count,added_date,buy_count,discount,rating,stock_count,image_url,specs
860e314f-8fff-44e2-94e7-a98e4f91bb79,Nintendo Nintendo Switch OLED,337.57,['Consoles'],"['1080p', 'Consoles', 'Nintendo Nintendo Switch OLED', 'Home', 'Console']","['Adaptive sync', 'Fast charging', 'IP68 water resistance', 'Backlit keyboard', 'Noise cancelling', 'Bluetooth 5.2']",Nintendo Nintendo Switch OLED —,"Nintendo Nintendo Switch OLED is a consoles designed for content creators. It features Adaptive sync, Fast charging, IP68 water resistance and ample storage. With a rating of 4.6/5, it balances performance and value.",False,15066,2020-12-09,528,15.0,4.6,0,https://via.placeholder.com/600x400?text=Nintendo+Nintendo+Switch+OLED,"{'Type': 'Home Console', 'Max Resolution': '1080p'}"
befc748f-9466-44e7-937e-c91c8e554bb0,Samsung Galaxy A5,1207.72,['Smartphones'],"['Exynos', 'Smartphones', 'Samsung Galaxy A5', '128GB', '6.1""', '6GB']","['OLED display', 'IP68 water resistance', 'USB-C charging', 'Fast charging']",Samsung Galaxy A5 — Exynos 2 6GB 128GB,"Samsung Galaxy A5 is a smartphones designed for travelers. It features OLED display, IP68 water resistance, USB-C charging and 128GB. With a rating of 3.8/5, it balances performance and value.",True,38069,2022-04-25,530,0.0,3.8,246,https://via.placeholder.com/600x400?text=Samsung+Galaxy+A5,"{'SoC': 'Exynos 2', 'RAM': '6GB', 'Storage': '128GB', 'Display': '6.1""'}"
6319b1bc-5ccf-41d1-a049-aae5b55fe6ac,JBL Flip 9,110.1,['Audio'],"['Yes', 'Over-ear', 'Audio', 'JBL Flip 9']","['Low-latency mode', 'HDR10', 'Fast charging', 'High refresh rate', 'IP68 water resistance', '4K video']",JBL Flip 9 —,"JBL Flip 9 is a audio designed for travelers. It features Low-latency mode, HDR10, Fast charging and ample storage. With a rating of 4.7/5, it balances performance and value.",True,19127,2022-04-25,659,7.0,4.7,48,https://via.placeholder.com/600x400?text=JBL+Flip+9,"{'Type': 'Over-ear', 'NoiseCancelling': 'Yes'}"
f535b33a-d5ea-44a1-8090-9d653019d889,Apple iPhone 15 Pro,1793.38,['Smartphones'],"['Apple iPhone 15 Pro', '256GB', 'Exynos', 'Smartphones', '8GB', '6.1""']","['Fast charging', 'High refresh rate', 'Low-latency mode', 'Thunderbolt 4', 'Optical zoom', 'OLED display', 'Backlit keyboard']",Apple iPhone 15 Pro — Exynos 3 8GB 256GB,"Apple iPhone 15 Pro is a smartphones designed for gamers. It features Fast charging, High refresh rate, Low-latency mode and 256GB. With a rating of 3.8/5, it balances performance and value.",True,5475,2024-07-18,127,0.0,3.8,100,https://via.placeholder.com/600x400?text=Apple+iPhone+15+Pro,"{'SoC': 'Exynos 3', 'RAM': '8GB', 'Storage': '256GB', 'Display': '6.1""'}"
3bb3924b-8eb5-4bb3-8915-1916c6e15ab2,Razer Blade 17,3192.88,['Laptops'],"['Laptops', '256GB', 'RTX', '3050', '8GB', 'Razer Blade 17', '14""']","['Bluetooth 5.2', 'High refresh rate', '4K video', 'Fast charging', 'Optical zoom', 'Wi-Fi 6']",Razer Blade 17 — i5 8GB 256GB,"Razer Blade 17 is a laptops designed for travelers. It features Bluetooth 5.2, High refresh rate, 4K video and 256GB. With a rating of 4.1/5, it balances performance and value.",True,6643,2022-04-16,412,25.0,4.1,110,https://via.placeholder.com/600x400?text=Razer+Blade+17,"{'CPU': 'i5', 'RAM': '8GB', 'Storage': '256GB', 'GPU': 'RTX 3050', 'Screen': '14""'}"
c5acf83b-365c-45ad-86ce-ab73c8dd3e50,"Apple MacBook Pro 17"" M10",3288.18,['Laptops'],"['Laptops', 'Apple MacBook Pro 17"" M10', '15.6""', 'RTX', '32GB', '3050', '1024GB']","['OLED display', 'IP68 water resistance', 'Noise cancelling', 'USB-C charging', 'High refresh rate', 'Optical zoom', 'Wi-Fi 6']","Apple MacBook Pro 17"" M10 — M3 32GB 1024GB","Apple MacBook Pro 17"" M10 is a laptops designed for professionals. It features OLED display, IP68 water resistance, Noise cancelling and 1024GB. With a rating of 4.0/5, it balances performance and value.",True,25585,2024-09-08,230,20.0,4.0,67,"https://via.placeholder.com/600x400?text=Apple+MacBook+Pro+17""+M10","{'CPU': 'M3', 'RAM': '32GB', 'Storage': '1024GB', 'GPU': 'RTX 3050', 'Screen': '15.6""'}"
c1432e7d-9a17-4696-9074-97294be3055b,Microsoft Xbox Series X,246.67,['Consoles'],"['Microsoft Xbox Series X', 'Consoles', 'Home', 'Console']","['Optical zoom', 'USB-C charging', 'Thunderbolt 4', 'Wi-Fi 6']",Microsoft Xbox Series X —,"Microsoft Xbox Series X is a consoles designed for travelers. It features Optical zoom, USB-C charging, Thunderbolt 4 and ample storage. With a rating of 4.4/5, it balances performance and value.",True,20574,2024-10-07,759,2.0,4.4,176,https://via.placeholder.com/600x400?text=Microsoft+Xbox+Series+X,"{'Type': 'Home Console', 'Max Resolution': '4K'}"
4f63f047-6194-45cc-9eb8-ba3a88669c1b,Sennheiser HD 1,408.58,['Audio'],"['Wireless', 'Sennheiser HD 1', 'Audio', 'Yes']","['Thunderbolt 4', 'Bluetooth 5.2', 'Wi-Fi 6', 'HDR10', 'Noise cancelling']",Sennheiser HD 1 —,"Sennheiser HD 1 is a audio designed for everyday users. It features Thunderbolt 4, Bluetooth 5.2, Wi-Fi 6 and ample storage. With a rating of 3.8/5, it balances performance and value.",False,203,2025-01-11,0,0.0,3.8,0,https://via.placeholder.com/600x400?text=Sennheiser+HD+1,"{'Type': 'Wireless', 'NoiseCancelling': 'Yes'}"
6e97d909-58e7-4996-872f-8a29d0042bf8,ASUS ROG Strix SSD,936.56,['PC Parts'],"['ASUS ROG Strix SSD', 'Motherboard', 'PC Parts']","['Adaptive sync', 'Fast charging', 'OLED display']",ASUS ROG Strix SSD —,"ASUS ROG Strix SSD is a pc parts designed for content creators. It features Adaptive sync, Fast charging, OLED display and ample storage. With a rating of 3.7/5, it balances performance and value.",True,8061,2021-08-04,444,0.0,3.7,85,https://via.placeholder.com/600x400?text=ASUS+ROG+Strix+SSD,{'Type': 'Motherboard'}
e1db9c4c-6dea-4267-a4fd-e244708e5581,Bose QuietComfort 7,366.7,['Audio'],"['Wireless', 'Bose QuietComfort 7', 'Audio']","['Thunderbolt 4', 'OLED display', 'Wi-Fi 6', 'Optical zoom', 'Low-latency mode', 'Fast charging']",Bose QuietComfort 7 —,"Bose QuietComfort 7 is a audio designed for travelers. It features Thunderbolt 4, OLED display, Wi-Fi 6 and ample storage. With a rating of 3.5/5, it balances performance and value.",True,58074,2024-01-19,793,0.0,3.5,66,https://via.placeholder.com/600x400?text=Bose+QuietComfort+7,"{'Type': 'Wireless', 'NoiseCancelling': 'No'}"
